,survey,subject,comment
255,No tab completion/history in ipdb (https://github.com/ipython/ipython/issues/682) forces me to use other IDEs for debugging purposes.,function,negative
256,"1.  Ability to HIDE CODE in the notebook. Because, when presenting work to people, I have found that they are generally not interested in looking at the code. 2. Light-weight inbuilt DICTIONARY? MS word has spoilt us!  ",function,positive
257,"It takes too much time to create notebooks. I can edit text files very fast due to all of the support from various text editors but writing notebooks in a primitive GUI requires too many mouse clicks even with the keyboard shortcuts. The UI is missing too many basic features to allow one to create notebooks very fast, like copying/pasting from one notebook to another, etc. The notebook format is also difficult to manage with version control which makes them a pain to see the differences. The fact that both the code that generates the content and the generated content live in the same file is problematic. Separation of content and presentation could be very beneficial.",function,positive
258, ,function,neutral
259,Convincing colleagues,function,positive
260,Python: difficulty reloading when writing modules Other languages: Stability of other kernels generic: editor clumsiness / browser shortcut conflicts,design,negative
261,More advance editing figures. I'd love plugins implementing vim/emacs commands within each cell.,design,positive
262,Integration with text editor ,design,neutral
263,Editable variable view like spyder,function,positive
264,need cloud features to share and collaborate notebooks.,function,negative
265,"1) Much of my work happens on computing clusters in batch mode.  2) Collaborative use of notebooks via version control is very difficult, in particular merging changes.",function,neutral
266,Proper export tools (mostly PDF or slide shows),design,positive
267,ability to re-run scripts from file,function,neutral
268,"Don't know as many keyboard shortcuts.   Particularly, I frequently have to click to restart kernal and run entire notebook.",function,neutral
269,Lack of fancy text editor tricks/shortcuts that my other editor has. ,design,negative
270,The lack of an automated AWS credential interface to choose between launching locally or on my cluster. ,function,negative
271,Difficulty getting coworkers to use python,function,negative
272,"Limited visibility on wide laptop screens, difficult to style (need deep CSS knowledge, no complete documentation), large cells unwieldy, lose position easily when executing cells esp. large ones - active cell often jumps off screen.  Need more visual contrast but see comment about styling difficulty.  No good debugging tools.  Notebooks are good for documentation but not development",function,negative
273,Would like to use it like an app. Opening a terminal window and a separate browser window is a bit of a schlep. ,function,positive
274,"Cumbersome interaction: modal editing is poor. Prior, when CTL combinations would modify the cell, it was much faster and easier.  I teach courses with Jupyter Notebook, and students continuously delete cells by accident and other errors due to the poor modal design.",function,negative
275," * Lack of interconnection between notebooks. Loading notebooks as modules is still non-trivial * non-trivial UI customization * No native spell-checker * No ""templates"" * No more user profiles or read-only mode",function,negative
276,* No spell checker * Non-trivial to use notebooks as modules * Non-trivial customization of notebooks * No more read-only access ,function,negative
277,"sage-kernel is not 100% ready, ",function,neutral
278,"I write a lot of Python code that ends up being refactored into a module. As soon as that happens the Notebook workflow loses its optimization. There's only so many ""restart kernel"" operations you can do before it starts to hinder productivity.  While recognizing prompting for OK when restarting the kernel is a reasonable UI decision, I'd LOVE to see a keyboard shortcut that does not prompt so I could get around this slowdown.",function,negative
279,"Version controlling the notebooks is challenging: it is difficult to see what has actually changed. This also makes collaborating inside a single notebook challenging, because changes made by another person are not transparent.   I also use the notebook as a platform for distributing interactive demos for students (using the widgets!). This has been a great resource for getting simulation tools in the hands of students. However, at this point, the upstart for them is still tough. These students have no programming experience, and we are leveraging the notebook as a rapid way to build interactive simulations. If we could easily run them live on the web (not having to have students download, install python etc.) that would be huge! To lower the barriers even further, if we could easily hide the code and execute on startup (essentially using it as a gui), that would be nice. ",function,neutral
280,The text editing/cell manipulation capabilities are very basic.,function,neutral
281,"Frankly, I'm not a fan of browser-based tools. Jupyter Notebooks are great for teaching, but I find that being browser-based is a huge hindrance for data exploration and exploratory programming.  In a nutshell, any web-based interface feels much slower than a similar console-based interface, and I personally think they slow down experimentation.  For that reason, I tend to use an IPython console extensively for day-to-day work and only use a Jupyter Notebook when I'm developing tutorials or similar documents.  Keep in mind that this is purely a personal preference.  Notebooks are a great communication tool, and Jupyter is an absolutely fabulous implementation, but they aren't a good fit for rapid experimentation, in my opinion.",function,positive
282,- Lack of core support for vim bindings - Lack of core support for moving multiple cells at once - Wonky git-diffs,performance,neutral
283,"Knowing where to find out about change, other tools like matlab ide , some programming languages have poor intergration ",design,neutral
284,Most of the time I prefer working with the ipython shell directly.  I use the notebook when I intend to share with others. ,function,positive
285,Intermittent network connections Better interactive plotting would be useful,function,positive
286,"The programs I write are mostly algorithms processing human movement data. These algorithms are slightly too long for the Notebook (200-300 lines). I also usually have to rewrite the algorithm many times. The notebook does not support this workflow very well, as I end up running Cell -> Run All very often, and editing cells at the top of the notebook. ",function,positive
287,"Too hard to install. I'd like more of my colleagues to use it, but the only practical way is to use the Anaconda distro; people are reluctant to trade python.org or Anaconda.",function,negative
288,A missing  version control system,function,neutral
289,"It does not hinder ME, but I would like a simple way to set up JupyterHub, so that others can *just use it*.",function,positive
290,The requirement for sequential execution of cells and no concepts of 'modulazation' (call cell x in notebook y) means it is always somewhat cumbersome to use if you are doing anything complicated.   But mostly the reluctance of others to use it. ,function,negative
291,Training to use keyboard shortcuts,design,neutral
292,"It's already the central part of my workflow, but Fortran support would be great. ",performance,positive
293,"I use Spark in my day job, it would be awesome to have a Notebook manage jobs on a cluster. This may be possible, but it's easy-enough (or widely-used enough) to have become a part of my work.",function,positive
294,"Great, easy to use documentation.  Particularly, a cookbook style compilation of how to best use it for a variety of use cases would be much appreciated.",function,positive
295,Lack of iPad browser support (input works badly),function,neutral
296,"Nothing, I just don't need it more often.",function,neutral
297,desktop UI,design,neutral
298,It's only for python,function,neutral
299,"The text editing feature (or lack of thereof). I end up back in Emacs. Also, folding based on the MarkDown structure.",function,negative
300,"The inability to hierarchically structure notebooks. This is my biggest usability problem, especially coming from Mathematica where it's very natural to have giant notebooks that are very easily navigable.",performance,negative
301,"it is not a universal tool. Sometimes I need to build more flexible websites than is possible today, or I need to build a backend service.",function,positive
302,Difficult to stay organized while writing more complicated code. ,function,negative
303,Collaborators who insist on using legacy platforms like MATLAB.,design,positive
304,"Post mortem Debugging, Better Debugging in general",function,positive
305,no 'undo' no proper Git integration too much scrolling necessary for large notebooks,function,positive
306,Notebooks aren't suitable for every task -- writing library/package code for example.,function,positive
307,An editor needs to be part of it.,design,neutral
308,"I'd love to have more interactive widgets. I have to annotate a lot of volumetric data and I'd love to be able to draw bounding boxes or drag polygons inside a notebook widget. Also better support for viewing 3D meshes and other data would be great, but not really something  that the Jupyter team should be solving",function,positive
309,"The usability in terms of keyboard-only usage could improve. I often have to utilize the mouse (eg. activate an input field). It would be great to get really good hints on what shortcuts are available that are visible during everyday use (eg. underlined characters in the menus) and not only when opening an extra cheat sheet (like it is today). You can only learn the shortcuts, if you see them regularly.  Additionally, the help integration for the programming language I'm using and also additional libs could get better. In times it's really frustrating to search for some function syntax. The SHIFT-TAB stuff is a good start, still I'd like get more and better layouted help. ",function,positive
310,"Support for more languages. The kernels are note easy to install, nor behind a corporate proxy. Should just be an EXE like Beaker Notebook",function,positive
311,I want to use Python2 and Python3 kernels and I haven't been about to do that with the same install. ,function,neutral
312,Lacking editor features,design,negative
313,Difficult to install.,function,negative
314,i mostly write postgres sql so if you supported that as a language then I would use it more.,performance,positive
315,Nothing. Too much time in meetings.,time,neutral
316,Speed,function,neutral
317,Language integration with Lua. Multi-user accounts. Better organization of work (I combine links to Jupyter notebooks with Evernote documents to document work),performance,positive
318,"Mainly the lack of viable use cases on my part. One thing I'd like to see is integration of notebooks with Python's development workflow, so that the notebook cells could act as unit tests.",function,neutral
319,It should be less of a document and more of a dynamic display.,function,positive
320,Legacy infrastructure ,performance,neutral
321,"Nothing, I just don't need interactive development that often.",performance,neutral
322,Text editing ability closer to sublime (multiple selection),design,positive
323,Always need to set Python environment,function,neutral
324,No line numbers. Can't click on line number in exception to highlight line number.,function,neutral
325,I wish the notebook style was more easy to use (Mathematica style),design,positive
326,Easily using multiple conda environments.,function,neutral
327,"Poor editing capabilities (e.g., no find/replace, no visual block selection/editing).",function,neutral
328,"Would be great to have advanced editor keyboard shortcuts like e.g. sublime text or atom.  Would also love an easy way to ""push"" code from cells to external files so they can be edited by an external text editor. This is both for editing, and to hide complexity and boilerplate initialization used across notebooks.  I've sometimes found it a little difficult maintaining a suite of notebooks that all rely on common code.",design,positive
329,Better dashboards! ,function,positive
330,"In ML, I have a cell output the loss at each epoch or few thousand iterations. This makes the output really long and to go between cells I have to scroll a lot to get past the wall of text I made.",function,negative
331,Switching back and forth between notebook and editor/IDE is distracting and time consuming.,function,negative
332,"This frequency of usage makes it a regular part of my workflow. I actually need to use it less :) as many scripting tasks would almost better be done in Sublime Text with its more advanced editing tools. I still revert to the Notebook for the increase,entail workflow that I really love.  Having said that, there are pain points -- my first experience of widgets was clunky and improving them would be a focal issue for my regular use in the future. ",function,positive
333,Better haskell support.,function,positive
334,"Python's shortcomings.  The GIL is murder sometimes.  Ease of sharing results with colleagues--both in terms of format, and in terms of lowering the cognitive costs of understanding how the notebook actually works. Consider some different visual cues to delineate code from markdown even more than it is already (I enable line numbering, and that seems to work pretty well.)",function,positive
335,Browser requirements. Exporting files and saving images. ,design,positive
336,User-identification. I use the site password function but this is very basic.,function,neutral
337,"The interface isn't the best. It would be good to have full-width textboxes when the window is maximized, and to not have to scroll down every time you re-display a graphic in the last cell.",function,positive
338,"Jupyter allows me to work on short scripts, but is very difficult to use on complex ones.   Typically I like to write modular code.  When a project gets large I split my work into multiple file.  Some files containing methods for I/O, others for processing or analytics and still others for plotting or visualization.  It is not easy in Jupyter to manage a project that is larger than a single script.",function,negative
339,There is way to much dead/empty space on the UI. I need the information density of a text-editor. ,design,negative
340,I don't need it for work by nature. I'm using it to learn and for some side projects and I don't always have time to work on them,time,positive
341,Not integrated with text editor; my own disorganization - I get make folders full of notebooks and even with git can't keep various versions straight,design,negative
342,"None for me personally, but when installing stuff on people's computers, especially newbies I'm introducing to ipython notebooks and python, Python 2-3 issues and conflicts with system packages are a damper, and the ipython->jupyter package rename was a gotcha, though it's not that bad. For windows users especially the process is a pain, but stuff like anaconda helps, though it's all very conda-centric which causes added confusion.  Similarly with the system python vs homebrew one in macs. I guess none of this is very ipython specific, but it always comes up during the process of getting ipython + numpy + pandas etc working.",function,negative
343,Strong gap between editing code in IDE and writing a Jupyter Notebook (juggling between Python scripts and notebooks is not as easy as it could be),function,neutral
344,Would prefer a native application on iOS and MacOS X. The QT version is ok but suffers from not being a native toolkit. Web Browser version is usable but lacks the flow and system integration that comes with a native application.   iOS is becoming more important as a large part of my workflow is done away from my desk using that platform.   ,function,positive
345,Sharing working code that uses other files on my system that are not in the notebook file or are too large/too many to upload. ,function,neutral
346,If it had a simpler UI it would be better.,function,positive
347,It's a bit less convenient to use than the IPython command line shell for some use cases.,function,positive
348,It is more of a notebook but it would be nice if it acted almost like an IDE for project-management.  Being able to run multiple modules or pages that link together in the same instance to help break up the notebook page into manageable chunks then a means to pull it all together into a final cohesive program would be quite useful.,function,positive
349,Not a full-time data scientist.,time,neutral
350,Better performance with large noteboooks / notebooks containing large images,performance,positive
351,Accessing a Jupyter Notebook via our University's computing cluster is a bit tedious. Requires some port forwarding and is not easy to teach.,function,negative
352,Making reusable code with notebooks,function,neutral
353,"I cannot build dashboards easily.I have to explore using jupyter and then build a dashboard separately. Very less documentation around dashboards,batch mode+dashboards,etc",function,neutral
354,"moving code from a notebook to my IDE. It would be great if I were able to highlight multiple cells and ""copy code content""",function,positive
355,"I use it a lot already, but would use it even more if I had a way to manage notebook servers more easily (or integrate them into the cloud for 'anywhere access').  I would also use them more often if it were possible to have a multi-user, collaborative experience (like Google Drive Docs).",function,neutral
356,Need better support for themes - I prefer dark backgrounds for coding.   I got my setup working on my work computer by changing existing theme files. Repeating it on my personal machine seems too cumbersome to do again.  This is something I have heard from another friend who I got excited about jupyter.,function,positive
357,"The workflow/interchange between notebooks and documents (such as the markdown I use to write papers) is very clunky - I end up copy-pasting text and TeX maths because the notebook isn't suitable by itself for storing documentation - there isn't a nice way to keep it all in sync. Part of this is that reading notebooks depend on running the notebook server and viewing in a browser, making them unsuitable for sharing and archiving (since you're not always sure you'll be able to load an old notebook without errors if you update packages).",function,neutral
358,higher startup cost than the shell,function,neutral
359,"Navigation in large notebooks. I think some automatic table-of-contents/overview mode would be very handy. Also, it would be nice to support detaching from a running notebook or run notebooks in batches. This would be really nice because contrary to a script, you can run your experiments, go to sleep and then just open the notebook to see your results and plots all inline with the code. It also helps document what exactly an experiment did since you've got the results and the code in the same file.",function,positive
360,for work based environments is security particularly the arbitary execution of code. ,performance,positive
361,Not relevant to my day job of working with Drupal and PHP.,function,neutral
362,"At work, the dependency on ZeroMQ is perceived as a threat (GPLv3 is not on our ""blessed"" license list). Since this is probably not a problem (using vs. extending etc.), we actually use Jupyter/IPython in our team (and I'm aware of others using it too).  Personally, the only thing I find a bit weird is how the editor works (e.g. parens autocompletion); IIRC, it can be configured, so this is more of a nitpick.  Usability-wise I've had no problems, although my view might be a bit skewed to the programmer's side.",performance,negative
363,"As a windows user, hosting it. Too much setup.",function,neutral
364,The editing capabilities such as:  - indent region  - comment block  - **multiple undo**  - undo across cells,function,positive
365,Using mainly unsupported proprietary language,performance,negative
366,Lack of a desktop app instead of browser ,function,negative
367,"Ability to quickly deploy and connect to a notebook server on a VM (e.g. when I need more memory, spin up a big EC2 instance without an hour of prepping an AMI or learning about Docker, then setting up storage and syncing to Dropbox / github, then connecting and managing security / SSL).  Good but not great cross-language development (e.g. calling R and Python in the same notebook, but for other languages).",performance,neutral
368,"Exporting 'finished' reports is one aspect. Yes, there are workarounds to code it, but adding simple features that allow you to export analyzed data / diagrams / charts in high fidelity formats is very important.",function,positive
369,No further need ,function,neutral
370,"Jupyter Notebook is useful when I have a good idea of what I want to do, but it is very bad for when I am takin g more of a stab in the dark, for the following reasons. 1. The namespace gets polluted from previously run cells even if those cells were later changed, resulting in hard-to-find bugs where I change a function name where it is defined in cell 1 but forget to change it where it is called in cell 2 and there is no apparent error, because cell 2 is silently calling the old function. I have taken to restarting the entire notebook and running every cell over again when I want to make a major change to a function, which is pretty slow. 2. When I am using parallel engines and something goes wrong I typically have to restart the engines and restart the notebook I'm working on, including running all the cells again (some kind of caching would help make this faster, like in R Notebooks). There are probably other issues but they're not coming to mind right now.",function,negative
371,"Most of my data lives in Postgres, and for exploratory work an IDE with great introspection and autocompletion is faster. ",performance,positive
372,"(I'm mostly using with python data science libs) Knowledge on how to built extension. Currently I don't know how to do this, so I'm using only for worklfows that are pretty standard.",function,positive
373,haven't been able to install R jupyter ,function,neutral
374,"Excel suffices for most of my workflow, and is the primary tool that my group uses.",performance,positive
375,Don't always do work on the computer,function,positive
376,"- lack of simple possibility to cut a notebook in pieces (e.g. as in Mathematica, where one can select a few cells at ones) - lack of mature solutions for collaborating on the same notebook",function,negative
377,I don't need to do this type of work more often,design,positive
378,Integration with IDEs - I want to use the notebook as a notebook but writing code in it is painful. PyCharm has integration but... ugh,function,negative
379,"When changing python modules in another editor, it would be nice if reloading them didn't need a kernel restart. Especially if they are imported as:  from x import y as z",function,positive
380,"It's hard to keep track of what's going in beyond a number of active cells. If there is say a short cut to get back a previously edited cell, I think just that would cut down on time spent in scrolling. ",function,negative
381,no comment,function,neutral
382,"Starts up a slow browser with all the previous tabs I may have.  Faster to start an ipython session in terminal.  Difficult to find the jupyter tab or figure out which jupyter tab corresponds to what analysis.  Simper to start an ipython session in terminal.  Stores data frames and such in memory. Not clear which cells are loaded and which aren't and what is taking up all the RAM.  The freedom also makes it simpler to create a mess with ordering of cell execution.  Simpler to start an ipython session in terminal.  Leaves an ipynb file around if I want to do a quick analysis. Have to go back to dir manually to delete the file.  Print statements slow down browser sometimes. This has improved though.  Scrolling is really bad if a command created a lot of output.  Searching through worksheet is not intuitive.  Cannot reload modules easily.  %load_ext autoreload and  %autoreload 2 doesn't work. %autoreload 1 doesn't work. Tested on OSX and Linux.   Same problem with ipython, but this is more of an issue with the notebook because it has more of a permanent state than terminal sessions.  You end up having to restart the kernel and lose everything in memory.",function,negative
383,Working out how to better combine exploratory work in notebook combined with writing scripts/programs in an external editor for future use (especially since the editing tools in external editors are much more powerful than in notebook),function,positive
384,Hard to write software packages in. Lack of support for some inline objects (3D graphs with matplotlib),performance,negative
385,I was using Emacs Org-Mode to embed calculations in my documents.   Org Mode has some other advantages but is clumsy.,performance,neutral
386,"Not non-trivial to go from a working solution in a notebook to a script. As in, when I try to move from exploration to production product, it's not seamless.",performance,neutral
387,"Better report generation. I am supposed to save things in MS Word or pdf format. This is much easier with org-mode, which I also use.",function,positive
388,"Better terminal integration, text editing features",performance,positive
389,"Not a problem with Jupyter per se, but something to do with the whole ecosystem.   The notebook is great for quick hacking and documenting the process, but the visualisation tools are precarious. Matplotlib is designed as a copy of matlab, the output is in image format, and within the notebook, optimised for display. Interactivity with the visualisation is not great, and small tweaks take an inordinate ammount of time. Producing visual outputs for purposes outside of the notebook is also cumbersome.",function,negative
390,Time,time,neutral
391,RStudio,function,neutral
392,"I don't use it for multi-file development (where I am working on both Python modules imported from another file, and the file that imports them). I find it too cumbersome for that workflow.  I also find the non-relationship between execution ordering and visual ordering off-putting for development. When reading code in another IDE, I know the execution order is determined by the visual order in combination with the call graph. In Jupyter Notebook, since a cell below could've been executed before a cell above, the ordering now must include the numbers next to the cells; this is too many elements for me to keep track of. As a result, I tend to only use Jupyter Notebook for exploratory work (more like a REPL), and copy and paste code into a text editor as I finish with a small snippet.",function,positive
393,"It is not easy to share a notebook with non-technical co-workers.  I can't email them a notebook, and have the file association automatically open it on windows.  I can't easily distribute a notebook with links to required python packages to run it.",function,negative
394,"Hard to keep track of large number of notebooks that need to be regular updated, or that are used to run commands.",function,negative
395,"Most of what I do is pretty canned, so scripts are better ways to run things.   I use jupyter for experimentation and tests.  ",function,positive
396,format of the notebook content.  prefer markdown,function,positive
397,"Starting up an instance in the terminal before accessing with a browser. It's be a simple thing, but a native wrapper around Jupyter server set-up and saving would be nice.",function,positive
398,Multiple checkpoints for notebooks,function,neutral
399,Slowdown from codemirror javascript in large notebooks and inability to seamlessly edit outside of the browser (e.g. vim),design,negative
400,"Maybe better integration. Right now I have to manually start the jupyter server and browse to the folder where I want to save the notebook, and that takes energy.",function,positive
401,"While writing individual scripts, it is fairly easy to split them apart into smaller interoperable units by cutting and pasting and imports and the like.  I've noticed that my notebooks tend to become a little overwhelming, and there is just enough of a barrier to extracting parts of the notebook amongst multiple cells into a script to keep me turning to the console ipython most of the time for initial investigations.",function,positive
402,"- development of modules with multiple files - development of notebooks that render lots of mathjax (it gets slow) -(painless) integration with distributed computing backends (this isn't really about the Notebook itself, but I had to say it)",performance,neutral
403,Lack of streaming stdout. Lack of strong + easy integration with text editor of my choice.,design,neutral
404,"Would like a mode for notebooks (a la read-only) where the default setting is to not modify the existing notebook, only to save a new one. Helpful when sharing a demo notebook via a git repo",function,positive
405,"Not a normal part of my job, but useful when I need it",function,positive
406,Create User Accounts No easy to select a diffrent color scheme,function,positive
407,Not being able to edit code in my normal IDE.,function,neutral
408,Lack of really good Vim support.,design,positive
409,ZMQ library problems with Julia,function,negative
410,Inoperability with in-house tools.,function,neutral
411,Seems to have trouble with history and multiple undos. Needs more training videos. ,function,negative
412,"command line + editor workflow, working with many sources",function,neutral
413,Editing capabilities for text. Ability to convert from notebook form to plain text and back again?  Working on multiple notebooks.,design,positive
414,Nothing. ,function,neutral
415,"not easy to terminate the running cell, often no response. ",function,negative
416,Doesn't run on Android. (Say the same for iOS if I had an iPhone or iPad).,function,neutral
417,Lack of compelling vim support with .vimrc,performance,neutral
418,Editing outside of Emacs is less comfortable. ,design,positive
419, ,function,neutral
420,no access to a variable browser for debugging purposes. This is the same issue that kept me from using Mathematica more in the past.,design,negative
421,I don't need it more often,function,neutral
422,IDE features,function,neutral
423,Mobile editor features,design,neutral
424,"Presentation options are limited - I often have to jump out to tableau or powerpoint. Slides need to be more flexible, not just code and plots.    Lack of easy version control, as seen in RStudio.",function,negative
425,shift in perspective between coding effectively in emacs and clicking around in web browser,design,positive
426,Lack of better ide like functions. ,function,positive
427,Stability,function,positive
428,"I tend to build things up in a notebook by creating one function at a time, but as things get bigger, I have to execute more and more code blocks each time I restart the kernel. I eventually move parts over to a python/julia module, but then when I need to make changes, I have to do that in an external editor and restart the kernel.   It would be nice to be able to do all of this directly in the notebook, not sure how that would look exactly. Maybe a cell type that was a little embedded editor/ide with a file browser.",function,positive
429,"(with python) lack of elegant modularity and code reuse, global state, mental burden when notebooks grow above a certain size",function,negative
430,Don't use python at work,function,positive
431,"- embedding of graphics directly in the .ipynb file - insufficient 3d graphics support - no single unified find or document model (e.g., each cell is its own separate editor) ",function,neutral
432,"Akward to commit to repositories, and for proper debugging. I also refer rstudio for visualisation",function,positive
433,"* need a black theme (eyes sore from too much light) * need CLI interaction (for commands but maybe curses-like too) * need debugger support (like pudb, ipdb, pdbpp, wdb?) * provide a way to execute some cells asynchronously (sometimes we would like to execute some monitoring code or command prompts or `pip installs`) * interactive input widgets (so we can drive matplotlib-like plots)",function,positive
434,- smooth integration with other languages - hiding code,function,positive
435,Friction starting and connecting to a Jupyter kernel running on a remote machine,function,negative
436,"Some kind of ""export cell as library"" support that would streamline saving the content of cell(s) in a source file (eg: .py, .jl...) and reusing it.",function,positive
437,I wish for a dedicated app rather than a two part server + browser solution.  Also richer document creation and slideshows would help.,function,positive
438,"Unfortunately my team does some things in google sheets. It is quite a pain to port things from google sheets to a notebook, but I do have to do it often.",function,negative
439,Better integration with batch-based computing clusters,performance,positive
440,I do not do science projects regularly.,function,neutral
441,"Nothing, I always use it for the tasks it can handle",function,neutral
442,"Two things:  1. It is too mouse-driven. I'm a bit embarrassed to complain, because I should just build an emacs-layer myself. Presumably there'd be a vim-layer available too.  2. Does not play nice with version control. I prefer to keep my source separate from my results, and it's difficult to get Jupyter to do this. If nbconvert could run the same ""Clear All"" command that you can run by clicking in the notebook, dumping the clear-all'ed to stdout, I think I'd be golden.",function,positive
443,The notebook gets cluttered very quickly.,function,neutral
444,Better keybindings for text selecting.  Eg would like emacs bindings,design,positive
445,"I use it in an academic environment, and it was non trivial to setup a multi user server. I used jupyterhub on Linux in the end with a custom authenticator. I'll see how it performs under load this year.",time,negative
446,"Interactive development is just not a good model for software development. Static typing, slow and proper software design, planned unit testing, data provenance, logging, etc., etc., are all extremely important **even in a rapid prototyping situation**. In fact, these things might be even more important for a rapid prototype than for more traditional software development. The notebook is just not a good setting for these things, even though many of the types of problems the notebook is supposed to help solve (interactive data cleaning, rapid prototyping, cursory data exploration) should all be heavily, heavily based on proper design, unit testing, and so on, even when they are being worked on in a ""rapid"" environment.",function,positive
447,"The forthcoming JupyterLab, more IDE-like interface based on phosphor.js, better notebook sharing features and cutomization (plugins).",function,positive
448,Nothing. I switch between data projects where I use it and infrastructure projects where I don't.,function,neutral
449,Inability to easily embed videos in the notebook requires me to use other software.,function,negative
450,"It's starting to become a regular tool. I run the notebook server on a VPS and use the notebook through SSH. I run the notebook server on code in a Git master branch and I sync that with a local branch periodically. I have mostly just used Idle in the past because that is very flexible and I get a complete transcript of my programming session. But support for Idle and improvements to Idle have mostly stopped. I like the general idea of the notebook but the format doesn't support some things very well - testing for example. I would like to have my tests in a separate notebook that is linked to the one I'm currently developing (same kernel I guess). I would like my tests to be separate because if they are in the same notebook as my normal code then it is distracting. I could migrate out my tests to  a separate file, but then they are not in the same notebook format as the regular code which is very convenient.  Some things in Jupyter are frustrating: 1. the kernel cannot be reliably interrupted. 2. kernel crashes. This means that datasets must be reloaded which can take a long time in my case. 3. code is not reloaded easily: I have to manually use reload(module) if the code is in a file. The notebook should reliably reload modules: I realize that this is a long-standing problem in Python generally that has still not been resolved after all these years. 4. code reload in a cell is very buggy. I've had old code remain in a cell after making a change that has caused some strange results. A reload of the code in a cell should clean out all of the old definitions and variables in that cell so that there can't be any strange behaviour due to old references. ",function,positive
451,I'm used to vim.  Using a web based UI feels very inefficient.,function,negative
452,"The editing of the notebook is sometimes cumbersome, e.g. when reordering cell or toggling output",function,negative
453,Having the admins at work install it. ,performance,positive
454,"Only use it for data processing, which I don't do regularly. Most of my code is OCaml, and the notebook workflow doesn't work well in that context. ",function,positive
455,Better R  Python integration.,function,positive
456,integration into my IDE/text editor,design,neutral
457,breakpoints,function,neutral
458,I don't know of a clean way to reimport modules that I've edited without restarting the kernel ,function,positive
459,"Sometimes creating new cells is tedious. Lots of clicking. Lack of keyboard shortcuts or easy discovery of keyboard shortcuts.  Aesthetics and lack of easy customization: changing fonts for readability, light and dark themes, etc. ",design,negative
460," - No double click to run notebooks on OSX  - Diffing/source control for notebooks is a headache  - While developing a module outside of the notebook, it's hard to force a reload of that module (things like %autoreload don't seem to work) in the running kernel (for testing changes)  - No easy way to see what variables are defined in the kernel already and examine their values",function,positive
461,"(1) I would like easier-to-use, standardized interactive graphics. (2) I would like my users to be able to go to a web page and run my code, without having to download and install anything.",function,positive
462,"Trying to make other colleagues use it.  There probably is a way of doing this, but when opening a Notebook having certain cells always precompute instead of having to run them individually.",function,neutral
463,"If there were an easier way to integrate Jupyter Notebook with Django, it would be extremely useful.",function,positive
464,Time allocated for the project using Jupyter,function,neutral
465,Good Git integration.,function,positive
466,Don't understand the advantages it brings to the table compared to traditional command line workflow unless working on plots ,function,neutral
467,Ide-like interractuons wien writing code,function,positive
468,"The memory use often makes me unable to load in my data as fully as I can in a more traditional IDE.  It also isn't as easy as I'd hope to generate loads of graphs iteratively, which means Jupyter isn't as good for data exploration - my main use case.",function,positive
469,"The saved state is hard to quickly clear. If I am working on a cell that changes a variable I have to re-run the cell that sets that variable every time I run the cell I'm working on. I wish there was a keyboard shortcut to restart the kernel, clear all inputs, and re-run the whole notebook. Or at least throw out the execution of the current cell and re-run it.",function,positive
470,"I can't apt-get install jupyter in Debian.  Using pip appears to pull large quantities of software from what amounts to another distribution. I know and trust Debian and the DFSG; I trust it to play well with upgrades.  If there's a simple semantic mismatch (like iPython vs jupyter), it's sure not obvious to me at first pass.  I'd love to use Jupyter, but it needs to fit into the reliable framework that's treated me well for the past 15 years.",function,positive
471,Sharing features Cross-language support (so different kernels can share access to serializable objects),performance,neutral
472,"I find that the smaller the task, the better suited it is, and that it needs polish when the notebooks or cells get really long. When cells are big, scrolling through cells is awkward, the cursor can get stuck off-screen, and the help window often obscures the cursor. Finding your way is tricky. Same thing goes for large notebooks -- something to make the notebook easier to navigate (for example an outline w/ hyperlinks) would be helpful.",function,negative
473,"Lack of IDE features, such as completion, syntax checking, linting ",function,negative
474,Mature versioning system built-in to the UI,function,positive
475,"Version control (and, which is related, collaborative version control).",function,neutral
476,The difficulty to use notebooks in version control repositories of more than one person. Code conflicts are generally really difficult to resolve (or at least that's my experience with git+ipynb).,function,negative
477,"One reason I end up using RStudio with R more often than Jupyter Notebook is because with RStudio I can resize graphics to my liking (manually) prior to  output to files. Also, RStudio and R have easily available help documentation for functions whereas with Python libraries I end up searching the web. This interrupts my workflow more than using R with RStudio.",function,positive
478,I want collaboration with real time cursors like google docs has.,time,positive
479,Lack of strong intellisense.,function,neutral
480,"Browser performance, and annoying codemirror defaults. Would love vim keybindings.",design,neutral
481,Cumbersome to setup. Doesn't work once I do. ,performance,neutral
482,"Poor integration with other languages (IHaskell is a pain in the ass).  It's easy to get disorganized with the minimal structure.  Sometimes I accidentally print too much and it crashes everything and can't stop, so I lose work.",performance,negative
483,"I use the notebook to develop non-interactive analysis scripts and as a nice graphical interface to ipython.  Using IPython is often the most convenient way to read the documentation, especially because inspecting live objects helps to clarify what they're doing.",function,positive
484,I think desktop app would help. Even something like Atom+Hydrogen.,function,positive
485,"""%matplotlib inline"" not being default ;-)",function,neutral
486,Sometimes the notebooks become a bit unwieldy when they get long.,function,negative
487, ,function,neutral
488,"Effort in converting Notebook analysis to either complete modules (with tests, etc) or to dashboards for external users (a la Shiny).",function,positive
489,"Lacks lots if IDE features I am use to, such as auto formatting, highlighting of errors, refactoring, etc ",function,negative
490,More time to work on it,time,positive
